"Cookie Settings","Impostazioni cookie"
"Cookie Consent","Consenso cookie"
"Privacy Policy","Informativa sulla privacy"
"We use cookies to enhance your browsing experience, analyze site traffic, and personalize content. By clicking ""Accept All"", you consent to our use of cookies.","Utilizziamo i cookie per migliorare la tua esperienza di navigazione, analizzare il traffico del sito e personalizzare i contenuti. Cliccando su ""Accetta tutto"", acconsenti al nostro utilizzo dei cookie."
"Strictly Necessary","Strettamente necessari"
"Essential cookies required for the website to function properly. These cannot be disabled.","Cookie essenziali necessari per il corretto funzionamento del sito web. Non possono essere disabilitati."
"Analytics","Analisi"
"Help us understand how visitors interact with our website by collecting anonymous data.","Aiutaci a capire come i visitatori interagiscono con il nostro sito web raccogliendo dati anonimi."
"Marketing","Marketing"
"Used to deliver personalized advertisements and measure their effectiveness.","Utilizzati per fornire annunci personalizzati e misurarne l'efficacia."
"Preferences","Preferenze"
"Remember your preferences and personalize your experience.","Ricorda le tue preferenze e personalizza la tua esperienza."
"Always Active","Sempre attivo"
"Accept All","Accetta tutto"
"Reject All","Rifiuta tutto"
"Save Preferences","Salva preferenze"
"Customize","Personalizza"
"Back","Indietro"
"Show cookie details","Mostra dettagli cookie"
"Hide cookie details","Nascondi dettagli cookie"
"Toggle %1","Attiva/Disattiva %1"
"via %1","tramite %1"
"Google Tag Manager","Google Tag Manager"
"Tag management system that loads other tracking services","Sistema di gestione tag che carica altri servizi di tracciamento"
"Google Analytics 4","Google Analytics 4"
"Web analytics service that tracks and reports website traffic","Servizio di analisi web che traccia e riporta il traffico del sito"
"Facebook Pixel","Facebook Pixel"
"Tracks conversions and enables remarketing on Facebook and Instagram","Traccia le conversioni e abilita il remarketing su Facebook e Instagram"
"Microsoft Clarity","Microsoft Clarity"
"Behavioral analytics tool that captures user interactions","Strumento di analisi comportamentale che cattura le interazioni degli utenti"
"Hotjar","Hotjar"
"Heatmaps and session recordings to understand user behavior","Mappe di calore e registrazioni di sessione per comprendere il comportamento degli utenti"
"Matomo","Matomo"
"Privacy-focused web analytics platform","Piattaforma di analisi web incentrata sulla privacy"
"Distinguishes unique users","Distingue gli utenti unici"
"Maintains session state","Mantiene lo stato della sessione"
"Stores browser ID for Facebook advertising","Memorizza l'ID del browser per la pubblicità Facebook"
"Stores Clarity user ID","Memorizza l'ID utente Clarity"
"Connects pageviews into a session","Collega le visualizzazioni di pagina in una sessione"
"Stores unique visitor ID","Memorizza l'ID visitatore unico"
"Ensures data from subsequent visits are attributed to same user","Assicura che i dati delle visite successive siano attribuiti allo stesso utente"
"Temporary session cookie","Cookie di sessione temporaneo"
"2 years","2 anni"
"3 months","3 mesi"
"1 year","1 anno"
"1 day","1 giorno"
"13 months","13 mesi"
"30 minutes","30 minuti"
"Session","Sessione"
"Bottom Left","In basso a sinistra"
"Bottom Right","In basso a destra"
"Modal (Center Overlay)","Modale (overlay centrato)"
"Bar (Bottom Fixed)","Barra (fissa in basso)"
"Strict (Block until consent)","Rigido (Blocca fino al consenso)"
"Infrastructure (Load immediately, push consent to dataLayer)","Infrastruttura (Carica immediatamente, invia consenso a dataLayer)"
"Cookie Consent","Consenso cookie"
"Stores your cookie consent preferences","Memorizza le tue preferenze di consenso cookie"
"Remembers your cookie consent choices","Ricorda le tue scelte di consenso cookie"
"Session Management","Gestione sessione"
"Manages your shopping session and protects against security threats","Gestisce la tua sessione di acquisto e protegge dalle minacce alla sicurezza"
"Maintains your session while browsing","Mantiene la tua sessione durante la navigazione"
"Security token preventing cross-site request forgery attacks","Token di sicurezza che previene attacchi di falsificazione richieste cross-site"
"Page Performance","Prestazioni pagina"
"Improves page loading speed and ensures content updates correctly","Migliora la velocità di caricamento delle pagine e assicura che i contenuti si aggiornino correttamente"
"Local storage of visitor-specific content for faster page loads","Archiviazione locale di contenuti specifici del visitatore per caricamenti di pagina più veloci"
"Tracks which page sections need to be refreshed","Traccia quali sezioni della pagina devono essere aggiornate"
"Determines when to clear local browser cache after session ends","Determina quando svuotare la cache locale del browser dopo la fine della sessione"
"Ensures personalized content is not served from server cache","Assicura che i contenuti personalizzati non vengano serviti dalla cache del server"
"Indicates when a cached page needs to be refreshed","Indica quando una pagina in cache deve essere aggiornata"
"Shopping Cart","Carrello"
"Essential for your shopping cart to function correctly","Essenziale per il corretto funzionamento del tuo carrello"
"Stores customer-specific shopping data like cart contents","Memorizza i dati di acquisto specifici del cliente come i contenuti del carrello"
"Signals when shopping data needs to be refreshed","Segnala quando i dati di acquisto devono essere aggiornati"
"Notifications","Notifiche"
"Displays important messages like order confirmations and errors","Visualizza messaggi importanti come conferme d'ordine ed errori"
"Stores messages to display to you, such as error or success notifications","Memorizza i messaggi da mostrarti, come notifiche di errore o successo"
"Store Selection","Selezione negozio"
"Remembers your selected store view and language","Ricorda la vista negozio e la lingua selezionate"
"Tracks the store view or language you selected","Traccia la vista negozio o la lingua che hai selezionato"
"Guest Checkout","Acquisto ospite"
"Enables order tracking and login redirects for guests","Abilita il tracciamento ordini e i reindirizzamenti di login per gli ospiti"
"Links guest orders to your browser for order tracking","Collega gli ordini ospite al tuo browser per il tracciamento"
"Saves the page to redirect you to after logging in","Salva la pagina a cui reindirizzarti dopo il login"
"Persistent Cart","Carrello persistente"
"Restores your shopping cart when you return to the website","Ripristina il tuo carrello quando torni sul sito web"
"Remembers your cart contents between visits","Ricorda i contenuti del tuo carrello tra le visite"
"Magento Cookie Notice","Avviso cookie Magento"
"Magento's built-in cookie consent tracking","Tracciamento del consenso cookie integrato di Magento"
"Indicates you have accepted the cookie policy","Indica che hai accettato la politica sui cookie"
"Recently Viewed Products","Prodotti visti di recente"
"Shows products you have recently looked at","Mostra i prodotti che hai visto di recente"
"Stores IDs of products you have viewed","Memorizza gli ID dei prodotti che hai visualizzato"
"Stores previously viewed products from earlier sessions","Memorizza i prodotti visualizzati in precedenza da sessioni precedenti"
"Product Comparison","Confronto prodotti"
"Enables the product comparison feature","Abilita la funzionalità di confronto prodotti"
"Stores IDs of products you are comparing","Memorizza gli ID dei prodotti che stai confrontando"
"Stores previously compared products from earlier sessions","Memorizza i prodotti confrontati in precedenza da sessioni precedenti"
"Product Data Cache","Cache dati prodotto"
"Caches product information for faster browsing","Memorizza nella cache le informazioni sui prodotti per una navigazione più veloce"
"Supports recently viewed and compare product features","Supporta le funzionalità prodotti visti di recente e confronto"
"Cookie","Cookie"
"Description","Descrizione"
"Duration","Durata"
